[2025-03-10 18:21:54,543] 18 root - INFO - Models have been loaded..
[2025-03-10 18:21:56,547] 24 root - INFO - Arduino connected..
[2025-03-10 18:21:59,348] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 18:22:01,987] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 18:22:06,105] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:22:06,438] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 18:22:17,441] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 18:22:19,654] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:22:19,965] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 18:22:30,968] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 18:22:33,140] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:22:33,383] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
