[2025-03-10 18:20:34,809] 18 root - INFO - Models have been loaded..
[2025-03-10 18:20:36,813] 24 root - INFO - Arduino connected..
[2025-03-10 18:20:39,337] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 18:20:42,379] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 18:20:46,561] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:20:46,987] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 18:20:57,992] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
[2025-03-10 18:21:00,182] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:21:00,399] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 18:21:11,404] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
[2025-03-10 18:21:13,616] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 18:21:24,719] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 18:21:35,724] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
[2025-03-10 18:21:46,728] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
