[2025-03-10 17:54:22,234] 18 root - INFO - Models have been loaded..
[2025-03-10 17:54:24,237] 24 root - INFO - Arduino connected..
[2025-03-10 17:54:27,400] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 17:54:29,950] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 17:54:31,453] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 17:54:32,958] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 17:54:37,146] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:54:37,432] 54 root - INFO - Response 'â\x9c\x85 Flag received: 4' sent..
[2025-03-10 17:54:38,436] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 17:54:40,529] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:54:51,626] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 17:55:02,631] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
