[2025-03-10 16:35:20,282] 18 root - INFO - Models have been loaded..
[2025-03-10 16:35:22,285] 24 root - INFO - Arduino connected..
[2025-03-10 16:35:24,422] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 16:35:26,822] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 16:35:30,995] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:35:32,197] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:35:34,340] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:35:35,430] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:35:37,635] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:35:38,727] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:35:40,825] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:35:41,915] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:35:44,090] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:35:45,180] 46 root - INFO - Command 'STOP' sent to Arduino.
