[2025-03-10 17:55:45,063] 18 root - INFO - Models have been loaded..
[2025-03-10 17:55:47,067] 24 root - INFO - Arduino connected..
[2025-03-10 17:55:49,205] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 17:55:51,584] 46 root - INFO - Command 'H' sent to Arduino.
[2025-03-10 17:55:53,089] 46 root - INFO - Command 'C' sent to Arduino.
[2025-03-10 17:55:54,595] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 17:55:58,784] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:55:59,056] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 17:56:00,059] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 17:56:02,138] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 17:56:13,233] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 17:56:24,238] 46 root - INFO - Command 'MOVE_2' sent to Arduino.
