[2025-03-10 16:45:09,268] 18 root - INFO - Models have been loaded..
[2025-03-10 16:45:11,271] 24 root - INFO - Arduino connected..
[2025-03-10 16:45:13,429] 72 root - INFO - Camera shot from 'http://192.168.1.103/cam-hi.jpg' captured without bounding box.
[2025-03-10 16:45:15,868] 46 root - INFO - Command 'O' sent to Arduino.
[2025-03-10 16:45:20,088] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:45:21,309] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:45:23,556] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:45:23,805] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 16:45:24,810] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 16:45:27,214] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:45:28,306] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:45:30,416] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:45:31,512] 46 root - INFO - Command 'STOP' sent to Arduino.
[2025-03-10 16:45:33,591] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:45:33,768] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 16:45:34,771] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 16:45:37,004] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:45:37,210] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 16:45:38,213] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 16:45:40,362] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:45:40,656] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 16:45:41,662] 46 root - INFO - Command 'MOVE' sent to Arduino.
[2025-03-10 16:45:43,744] 89 root - INFO - Camera shot from 'http://192.168.1.104/cam-hi.jpg' captured with bounding box.
[2025-03-10 16:45:43,958] 54 root - INFO - Response 'â\x9c\x85 Flag received: 5' sent..
[2025-03-10 16:45:45,377] 46 root - INFO - Command 'MOVE' sent to Arduino.
